Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
TelecityGroup acquired by Equinix,TelecityGroup,Equinix,"Jan 16, 2016","$3,600,000,000",Acquisition,—,"TelecityGroup is Europeâ€™s industry-leading provider of premium network independent data centres offering a range of flexible, scalable",—,"Information Technology, Internet, Web Hosting","London, England, United Kingdom",—,—,M&A,—,Equinix provides a carrier-neutral interconnection data center and global colocation services.,"Cloud Data Services, Data Center, Information Technology, Infrastructure, Internet","Redwood City, California, United States",—,"$1,433,500,126",IPO,3
DiviTech A/S acquired by Cisco,DiviTech A/S,Cisco,"Jun 10, 2008",—,—,—,"Founded in 1984, Cisco is the worldwide leader in networking that transforms how people connect, communicate and collaborate.",—,Software,"Hørsholm, Hovedstaden, Denmark",—,—,M&A,—,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
TrunkClub acquired by Nordstrom,TrunkClub,Nordstrom,"Jul 31, 2014","$350,000,000",Acquisition,Stock,Trunk Club is a men's clothing service where a personal stylist handpicks high-end clothes and ships it for free.,—,"E-Commerce, Fashion, Retail","Chicago, Illinois, United States",—,"$12,444,994",M&A,4,"Nordstrom is an online fashion retailer offering apparel, shoes, cosmetics and accessories for women, men and children.","Brand Marketing, Consumer Goods, E-Commerce, Fashion, Lifestyle, Retail","Seattle, Washington, United States",—,—,IPO,—
Vale Fertilizantes acquired by The Mosaic Company,Vale Fertilizantes,The Mosaic Company,"Dec 19, 2016","$2,500,000,000",Acquisition,—,Vale Fertilizantes operates as a fertilizer company.,—,Chemical,"Uberaba, Mato Grosso, Brazil",—,—,M&A,—,Mosaic is the world's leading producer and marketer of concentrated phosphate and potash,Mining Technology,"Plymouth, Minnesota, United States",—,—,—,—
Shift acquired by Omnicom Group,Shift,Omnicom Group,"Feb 12, 2008",—,Acquisition,—,Shift is a digital consultancy.,—,"Advertising, Marketing","Wellington, Wellington, New Zealand",—,—,M&A,—,Omnicom Group provides advertising and marketing communications services for their clients.,"Advertising, Direct Marketing","New York, New York, United States",—,—,IPO,—
Omega Performance acquired by Moody's Investors Service,Omega Performance,Moody's Investors Service,"Aug 7, 2018",—,Acquisition,—,Omega Performance is a provider of training and consulting for financial services professionals.,—,"Consulting, Financial Services, Training","Arlington, Virginia, United States",—,—,M&A,—,"Moody's Investors Service is a bond credit rating business that provides research, credit rating, and financial risk analysis services.","Analytics, Credit, Financial Services, FinTech, Hedge Funds","New York, New York, United States",—,—,IPO,—
Kreatel Communications acquired by Motorola Solutions,Kreatel Communications,Motorola Solutions,"Jan 17, 2006",—,Acquisition,—,Kreatel Communications developer of innovative Internet Protocol (IPTV) based digital set-tops.,—,"Digital Entertainment, Information Technology, Internet, Media and Entertainment, Robotics, Software, Telecommunications, Video","Linköping, Ostergotlands Lan, Sweden",—,—,M&A,—,Motorola Solutions creates mission-critical communication solutions and services for public safety and commercial customers.,"Communications Infrastructure, Cyber Security, Electronics, Information Technology, Mobile, Public Safety, Telecommunications, Wireless","Schaumburg, Illinois, United States",—,"$1,000,000,000",IPO,1
Undead Labs acquired by Microsoft,Undead Labs,Microsoft,"Jun 10, 2018",—,Acquisition,—,"Undead Labs is a Seattle, Washington based game development studio.",—,"Computer, Gaming, Online Portals","Seattle, Washington, United States",—,—,M&A,—,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.","Cloud Computing, Collaboration, Consumer Electronics, Developer Tools, Enterprise Software, Operating Systems, Software","Redmond, Washington, United States",—,"$1,000,000",IPO,1
VXtreme acquired by Microsoft,VXtreme,Microsoft,"Aug 5, 1997",—,—,—,VXtreme is a Real Time company.,—,"Real Time, Software, Video",—,—,—,M&A,—,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.","Cloud Computing, Collaboration, Consumer Electronics, Developer Tools, Enterprise Software, Operating Systems, Software","Redmond, Washington, United States",—,"$1,000,000",IPO,1
"Security First Group, Inc. acquired by MetLife","Security First Group, Inc.",MetLife,"Jan 1, 1997","$377,000,000",Acquisition,Cash,"Security First Group design, manufacture and distribute financial services products through financial intermediaries.",—,Financial Services,"Los Angeles, California, United States",—,—,M&A,—,"MetLife, Inc. (MetLife) is a provider of insurance, employee benefits and financial services, with operations throughout the United States","Financial Services, Insurance, Risk Management","New York, New York, United States",—,—,IPO,—
Abbott Laboratories acquired by Mylan,Abbott Laboratories,Mylan,"Jul 14, 2014","$5,300,000,000",Acquisition,—,Non-U.S. Developed Markets Specialty and Branded Generics Business comprises manufacturing of specialty and generic pharmaceuticals.,—,Manufacturing,"Abbott, Texas, United States",—,—,M&A,—,Mylan offers a broad portfolio of generic and specialty pharmaceutical products.,"Biotechnology, Health Care, Life Science","Canonsburg, Pennsylvania, United States",—,—,IPO,—
PGI acquired by NVIDIA,PGI,NVIDIA,"Jul 29, 2013",—,Acquisition,—,"PGI is a developer of Fortran, C, and C++ compilers.",—,Software,"Lake Oswego, Oregon, United States",—,—,M&A,—,"NVIDIA manufactures integrated circuits for use in motherboard chip-sets, graphic processing units, and game consoles.","Gaming, GPU, Hardware, Robotics, Software, Virtual Reality, Virtualization","Santa Clara, California, United States",—,"$4,025,000,000",IPO,4
SparklineData acquired by Oracle,SparklineData,Oracle,"Apr 10, 2018",—,Acquisition,—,Fast Business Intelligence on Apache Spark,—,"Analytics, Business Intelligence, SaaS, Software","Sunnyvale, California, United States",—,—,M&A,—,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
VoloMetrix acquired by Microsoft,VoloMetrix,Microsoft,"Sep 11, 2015","$250,000,000",Acquisition,—,VoloMetrix is an enterprise analytics company focused on improving organizational effectiveness and knowledge worker productivity.,—,"Analytics, Enterprise Software, Social Media","Seattle, Washington, United States",—,"$16,900,000",M&A,3,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.","Cloud Computing, Collaboration, Consumer Electronics, Developer Tools, Enterprise Software, Operating Systems, Software","Redmond, Washington, United States",—,"$1,000,000",IPO,1
Starbev Netherlands acquired by Molson Coors,Starbev Netherlands,Molson Coors,"Apr 4, 2012","€2,650,000,000",Acquisition,—,Starbev Netherlands is the eastern European beer maker.,—,Food and Beverage,"Netherlands, Missouri, United States",—,—,M&A,—,Molson Coors is a beer company and distributor that brews the world's favorite beer brands.,"Craft Beer, Food and Beverage, Food Processing, Marketing, Supply Chain Management","Denver, Colorado, United States",—,—,IPO,—
ARCO Long Beach acquired by Occidental Petroleum Corporation,ARCO Long Beach,Occidental Petroleum Corporation,"Apr 24, 2000","$68,000,000",Acquisition,Cash,ARCO Long Beach is an oil producing entity.,—,Oil and Gas,"Wilmington, California, United States",—,—,M&A,—,Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company,"Energy, Oil and Gas","Houston, Texas, United States",—,—,IPO,—
Denison International acquired by Parker Hannifin,Denison International,Parker Hannifin,"Feb 12, 2004",—,Acquisition,—,An industrial manufacturer and service provider for highly engineered hydraulic fluid power systems and components.,—,Manufacturing,"Marysville, Ohio, United States",—,—,M&A,—,Parker Hannifin is the world's leading diversified manufacturer of motion.,"Hardware, Manufacturing","Cleveland, Ohio, United States",—,—,IPO,—
PlayFab acquired by Microsoft,PlayFab,Microsoft,"Jan 29, 2018",—,Acquisition,—,PlayFab is a cloud-based provider of tools and services for building and managing online games.,—,"Cloud Data Services, Developer Tools, PaaS, PC Games","Seattle, Washington, United States",—,"$13,000,000",M&A,3,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.","Cloud Computing, Collaboration, Consumer Electronics, Developer Tools, Enterprise Software, Operating Systems, Software","Redmond, Washington, United States",—,"$1,000,000",IPO,1
Integrated Merchandising Systems acquired by Omnicom Group,Integrated Merchandising Systems,Omnicom Group,"Oct 1, 2001",—,—,—,"IMS is a leading merchandising service agency with a proprietary, fully-integrated retail management system proven to deliver strategic",—,"Logistics, Retail, Supply Chain Management","Morton Grove, Illinois, United States",—,—,M&A,—,Omnicom Group provides advertising and marketing communications services for their clients.,"Advertising, Direct Marketing","New York, New York, United States",—,—,IPO,—
Finesse Solutions acquired by Thermo Fisher Scientific,Finesse Solutions,Thermo Fisher Scientific,"Feb 15, 2017",—,Acquisition,—,Finesse Solutions develops scalable control automation systems and software for bioproduction.,—,"Biotechnology, Electronics, Information Technology, Robotics, Software","Santa Clara, California, United States",—,—,M&A,—,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
Premcor acquired by Valero Energy,Premcor,Valero Energy,"Apr 25, 2005",—,Acquisition,—,Premcor is one of the largest independent petroleum refiners and suppliers of unbranded transportation fuels,—,"Energy, Oil and Gas, Transportation",—,—,—,M&A,—,"Valero Energy is a Fortune 500 international manufacturer and a marketer of transportation fuels, other petrochemical products and power.","Biofuel, Energy, Oil and Gas","San Antonio, Texas, United States",—,—,M&A,—
Vans acquired by VF,Vans,VF,"Apr 28, 2004",—,Acquisition,—,"Vans.com manufactures shoes, apparel, and other products for action sports.",—,"E-Commerce, Fashion, Lifestyle, Retail, Shoes, Sporting Goods, Sports","Costa Mesa, California, United States",—,—,M&A,—,VF offers a diverse portfolio of iconic outdoor and activity-based lifestyle and work-wear brands.,"Fashion, Product Design, Shoes, Sports","Greenwood Village, Colorado, United States",—,"$680,611,554",IPO,1
Vail Banks acquired by U.S. Bancorp,Vail Banks,U.S. Bancorp,"Sep 1, 2006",—,Acquisition,—,"Vail Banks, Inc., will serve as the head of U.S. Bank's Western Slope regional advisory board.",—,"Commercial Real Estate, Finance","Vail, Colorado, United States",—,—,M&A,—,"U.S. Bancorp is a financial holding company, offers banking, investment, mortgage, trust, and payment services and products for its clients","Banking, Financial Services, Insurance, Wealth Management","Minneapolis, Minnesota, United States",—,—,IPO,—
National Pump acquired by United Rentals,National Pump,United Rentals,"Mar 9, 2014",—,—,—,National Pump is a company that was acquired by United Rentals in 2014.,—,Internet,—,—,—,M&A,—,United Rentals operates as an equipment rental company.,"Construction, Industrial, Rental","Stamford, Connecticut, United States",—,—,IPO,—
Polamco acquired by TE Connectivity,Polamco,TE Connectivity,"Jan 16, 2015",—,Acquisition,—,"Polamco is a designer and manufacturer of high precision connectors, backshells, interconnect accessories and custom connectivity solutions.",—,"Electronics, Sensor","Bath, Bath and North East Somerset, United Kingdom",—,—,M&A,—,"TE Connectivity provides engineered electronic components, network solutions, specialty products, and undersea telecommunication","Electrical Distribution, Hardware, Software","Schaffhausen, Schaffhausen, Switzerland",—,—,IPO,—
Fandstan Electric Group acquired by Wabtec,Fandstan Electric Group,Wabtec,Feb 2014,—,—,—,"The Fandstan Electric Group was formed in 1979, it remains privately owned with no outside shareholders and it is therefore fully",—,Manufacturing,"London, England, United Kingdom",—,—,M&A,—,"Wabtec Corporation is a global provider of value-added, technology-based products and services primarily for the rail and transit industry.","Hardware, Manufacturing","Wilmerding, Pennsylvania, United States",—,—,IPO,—
DeePhi Tech acquired by Xilinx,DeePhi Tech,Xilinx,"Jul 17, 2018",—,Acquisition,—,"DeePhi Tech is devoted to provide the world with more convenient, efficient, and economical deep learning platforms.",—,"Information Services, Information Technology, Software","Beijing, Beijing, China",—,"$40,000,000",M&A,2,Xilinx is a technology company that primarily supplies programmable logic devices.,"Electronic Design Automation (EDA), Field-Programmable Gate Array (FPGA), Hardware, Software, Wireless","San Jose, California, United States",—,—,IPO,—
Infield Systems acquired by Verisk Analytics,Infield Systems,Verisk Analytics,"Nov 6, 2015",—,Acquisition,—,"Infield Systems is a consulting and advisory company for the offshore oil, gas, marine and renewable energy industries.",—,"Consulting, Energy, Renewable Energy",—,—,—,M&A,—,Verisk Analytics enables risk-bearing businesses for better understand and manage their risks.,"Health Care, Insurance, Public Relations","Jersey City, New Jersey, United States",—,—,IPO,1
Complex acquired by Verizon Communications,Complex,Verizon Communications,"Apr 18, 2016","$250,000,000",Acquisition,—,"Complex is an online magazine that features articles about music, styles, pop culture, sports, and sneakers.",—,"Lifestyle, Printing, Publishing","New York, New York, United States",—,"$60,533,695",M&A,4,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,"Communications Infrastructure, Information Technology, Mobile, Telecommunications","New York, New York, United States",—,"$30,079,814,466",IPO,7
Unison Industries - Aerospace Ignition Product Line acquired by TransDigm,Unison Industries - Aerospace Ignition Product Line,TransDigm,"Sep 26, 2008","$69,000,000",Acquisition,Cash,"Unison Industries is a supplier of proprietary, highly engineered components to the commercial aerospace industry.",—,"Aerospace, Manufacturing","Jacksonville, Florida, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
Burr-Brown Corporation acquired by Texas Instruments,Burr-Brown Corporation,Texas Instruments,"Jun 21, 2000",—,Acquisition,—,"The Burr-Brown Corporation was a United States technology company in Tucson, Arizona.",—,Information Technology,"Tucson, Arizona, United States",—,—,M&A,—,"Texas Instruments develops semiconductor and computer technology for cellular handsets, digital signal processors and analog semiconductors.","Computer, DSP, Semiconductor","Dallas, Texas, United States",—,—,IPO,—
Aviation Technologies acquired by TransDigm,Aviation Technologies,TransDigm,"Jan 9, 2007","$430,000,000",Acquisition,Cash,"Aviation Technologies is a supplier of aerospace products,.",—,Aerospace,"Cleveland, Ohio, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
Implex acquired by Zimmer Biomet,Implex,Zimmer Biomet,"Jun 23, 2004","$108,000,000",Acquisition,—,Implex a company whose products can change the way orthopedic surgeons treat the disease of or injury to the human musculoskeletal system.,—,"Biotechnology, Health Care, Medical","Allendale, New Jersey, United States",—,—,M&A,—,"Zimmer Biomet designs, develops, manufactures, and markets orthopedic reconstructive and spinal products.","Dental, Hardware, Health Care","Warsaw, Indiana, United States",—,"$1,000,000,000",IPO,1
Barking Dog Studios acquired by Take-Two Interactive,Barking Dog Studios,Take-Two Interactive,"Aug 12, 2002",—,Acquisition,—,Barking Dog Studios is design and technology to create engaging.,—,Internet,"Guelph, Ontario, Canada",—,—,M&A,—,"Take-Two Interactive Software is an American publisher, developer, and distributor of video games.","Online Games, PC Games, Publishing, Software, Sports, Video, Video Games","New York, New York, United States",—,—,IPO,—
Greentech Media acquired by Verisk Analytics,Greentech Media,Verisk Analytics,"Jul 19, 2016",—,Acquisition,—,"Greentech Media is an online media company providing news, in-depth market research and analysis on the greentech B2B market.",—,"Digital Media, Energy Efficiency, News, Social Media, Solar","Boston, Massachusetts, United States",—,"$4,575,000",M&A,3,Verisk Analytics enables risk-bearing businesses for better understand and manage their risks.,"Health Care, Insurance, Public Relations","Jersey City, New Jersey, United States",—,—,IPO,1
UTV Software Communications acquired by The Walt Disney Company,UTV Software Communications,The Walt Disney Company,"Feb 1, 2012","₹2,000,000,000",Acquisition,—,UTV is an Indian media and entertainment company.,—,"Broadcasting, Gaming, Music, News","Mumbai, Maharashtra, India",—,—,M&A,—,The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information.,Animation,"Lake Buena Vista, Florida, United States",—,—,IPO,—
Axiom Technology Partners acquired by Teleflex,Axiom Technology Partners,Teleflex,"May 1, 2012",—,—,—,Axiom Technology Partners is a company that was acquired by Teleflex in 2012.,—,Information Technology,—,—,—,M&A,—,"Teleflex is a diversified global company, distinguished by a significant presence in healthcare, with niche businesses.","Health Care, Medical, Medical Device","Royersford, Pennsylvania, United States",—,"$400,000,000",IPO,1
Doctor Driven Systems acquired by Verisk Analytics,Doctor Driven Systems,Verisk Analytics,"Jan 14, 2009",—,Acquisition,—,Doctor Driven Systems is dedicated to the innovative design and development of medical management automation software.,—,"Health Care, Information Technology, Medical, Software","Wellesley, Massachusetts, United States",—,—,M&A,1,Verisk Analytics enables risk-bearing businesses for better understand and manage their risks.,"Health Care, Insurance, Public Relations","Jersey City, New Jersey, United States",—,—,IPO,1
Fintellix Solutions acquired by Verisk Analytics,Fintellix Solutions,Verisk Analytics,"Feb 27, 2017",—,Acquisition,—,"Fintellix is a leading Compliance, Risk & Analytics Products and Solutions provider for the Global Financial Services Industry.",—,Analytics,"Bangalore, Karnataka, India",—,"$9,200,000",M&A,1,Verisk Analytics enables risk-bearing businesses for better understand and manage their risks.,"Health Care, Insurance, Public Relations","Jersey City, New Jersey, United States",—,—,IPO,1
Optical Boring Co. acquired by Textron,Optical Boring Co.,Textron,"Dec 3, 1999",—,Acquisition,—,Optical Boring Co. operates as a designer and manufacture of fastener tooling.,—,Manufacturing,"Detroit, Michigan, United States",—,—,M&A,—,"Textron Inc. is a multi-industry company that leverages its global network of aircraft, defense, industrial and finance businesses to","Aerospace, Finance, Industrial","Providence, Rhode Island, United States",—,—,IPO,—
Tegile Systems acquired by Western Digital,Tegile Systems,Western Digital,"Aug 29, 2017",—,Acquisition,—,Tegile Systems provides hybrid and all flash storage arrays for a wide range of enterprise applications.,—,"Data Storage, Flash Storage, Hardware, Virtualization","Newark, California, United States",—,"$174,515,542",M&A,6,"WD is driving the innovation needed to help customers capture, preserve, access, and transform an ever-increasing diversity of data.","Hardware, Manufacturing, Navigation, Software","San Jose, California, United States",—,—,IPO,1
Skandia acquired by TransDigm,Skandia,TransDigm,"Jul 13, 2018","$84,000,000",Acquisition,—,Skandia has a fresh view of investments to help our customers around the world achieve their goals.,—,"Aerospace, Financial Services, Industrial Design, Industrial Engineering, Industrial Manufacturing","Davis Junction, Illinois, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
Avella Specialty Pharmacy acquired by UnitedHealth Group,Avella Specialty Pharmacy,UnitedHealth Group,"Oct 16, 2018",—,Acquisition,—,"Avella Specialty Pharmacy is a pharmaceuticals company that offers hepatitis and oncology, medications and support.",—,"Biotechnology, Pharmaceutical","Phoenix, Arizona, United States",—,—,M&A,—,UnitedHealth Group is the most diversified health care company in the United States and a leader worldwide in helping people live.,"Health Care, Medical, Wellness","Minneapolis, Minnesota, United States",—,—,IPO,—
Overnite acquired by United Parcel Service (UPS),Overnite,United Parcel Service (UPS),"May 16, 2005",—,—,—,"Overnite is a leading, predominantly non-union provider of less-than-truckload, or LTL, transportation services.",—,Transportation,"Richmond, Virginia, United States",—,—,M&A,—,United Parcel Service (UPS) is a package delivery company specializing in transportation and logistics services.,"Logistics, Messaging, Transportation","Atlanta, Georgia, United States",—,—,IPO,—
Measurement Specialties acquired by TE Connectivity,Measurement Specialties,TE Connectivity,"Jun 18, 2014","$1,700,000,000",Acquisition,Cash & Stock,Measurement Specialties is a global designer and manufacturer of sensors and sensor-based systems,—,"Aerospace, Electronics, Manufacturing, Sensor, Test and Measurement","Hampton, Virginia, United States",—,—,M&A,—,"TE Connectivity provides engineered electronic components, network solutions, specialty products, and undersea telecommunication","Electrical Distribution, Hardware, Software","Schaffhausen, Schaffhausen, Switzerland",—,—,IPO,—
American Realty Capital Healthcare Trust acquired by Ventas,American Realty Capital Healthcare Trust,Ventas,"Jun 2, 2014","$2,600,000,000",Acquisition,Cash & Stock,American Realty Capital Healthcare Trust is focused on acquiring and owning a balanced & diversified portfolio of medical office buildings.,—,"Commercial Real Estate, Health Care, Real Estate","New York, New York, United States",—,—,M&A,—,"Ventas, Inc. (NYSE: VTR), an S&P 500 company, is a leading real estate investment trust (REIT),",Real Estate,"Chicago, Illinois, United States",—,—,IPO,—
Fundamo (Proprietary) acquired by Visa,Fundamo (Proprietary),Visa,"Jun 9, 2011","$110,000,000",Acquisition,Cash,"Fundamo provides mobile financial solutions for banks, financial organizations and mobile network operators.",—,"Finance, Financial Services, FinTech","Cape Town, NA - South Africa, South Africa",—,"$5,100,000",M&A,1,Visa is an American multinational financial services company that facilitates electronic payment systems throughout the world.,"Financial Services, Internet, Payments","San Francisco, California, United States",—,—,IPO,1
Advanced Scientifics (ASI) acquired by Thermo Fisher Scientific,Advanced Scientifics (ASI),Thermo Fisher Scientific,"Feb 5, 2015","$300,000,000",Acquisition,Cash,ASI is a leading global provider of advanced single-use systems for the Healthcare and Life Sciences Industries.,—,"Biotechnology, Health Care, Life Science","Millersburg, Pennsylvania, United States",—,—,M&A,—,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
Towers Watson acquired by Willis Towers Watson,Towers Watson,Willis Towers Watson,"Jun 30, 2015",—,Acquisition,—,Towers Watson is a leading global professional services company that helps organizations improve performance.,—,"Consulting, Professional Services","New York, New York, United States",—,—,M&A,—,Willis Towers Watson is a global advisory and solutions company that helps clients around the world turn risk into a path for growth.,"Consulting, Information Technology, Insurance, Medical, Service Industry","London, England, United Kingdom",—,—,IPO,—
Swecoin AB acquired by Zebra Technologies,Swecoin AB,Zebra Technologies,"Oct 4, 2006",—,Acquisition,—,"Swecoin AB engages in the development, manufacture, and supply of thermal receipt, ticket, and document printers for use in kiosks.",—,Hardware,"Sollentuna, Stockholms Lan, Sweden",—,—,M&A,—,"Zebra Technologies is a global leader in barcode printing and RTLS technology including printers, RFID, software and supplies.","Computer, Enterprise Software, Hardware, Information Technology, News, Social News, Software","Lincolnshire, Illinois, United States",—,"$2,000,000,000",IPO,2
Lucasfilm acquired by The Walt Disney Company,Lucasfilm,The Walt Disney Company,"Oct 30, 2012","$4,050,000,000",Acquisition,Cash & Stock,"Lucasfilm produces original content, postproduction effects, and audio for external clients, licensed products, and the gaming industry.",—,"Film, Software, TV Production, Video","San Francisco, California, United States",—,—,M&A,—,The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information.,Animation,"Lake Buena Vista, Florida, United States",—,—,IPO,—
Cooking.com acquired by Target,Cooking.com,Target,"Mar 14, 2013",—,Acquisition,—,Cooking.com is an online store for kitchen products and offers a collection of recipes and community features.,—,"Cooking, E-Commerce, Internet","Marina Del Rey, California, United States",—,"$107,500,000",M&A,7,"Target Retail, Data Science and Engineering.","Communities, E-Commerce, Retail, Shopping","Minneapolis, Minnesota, United States",—,—,IPO,1
Arbor Group acquired by Universal Health Services,Arbor Group,Universal Health Services,"Apr 24, 2014",—,Acquisition,—,Arbor Group operates three management contracts covering 66 beds.,—,Health Care,"Washington, District of Columbia, United States",—,—,M&A,—,"Universal Health Services, Inc. (UHS) is one of the nation's largest and most respected healthcare management companies.",Health Care,"King Of Prussia, Pennsylvania, United States",—,—,IPO,—
ZeroPush acquired by Twitter,ZeroPush,Twitter,"Oct 26, 2015",—,Acquisition,—,"Zeropush is a company based out of 2016 Walnut St, 3R, Philadelphia, PA, United States.",—,"Consumer Electronics, Internet, Messaging, Mobile, SaaS, Software","Philadelphia, Pennsylvania, United States",—,—,M&A,—,Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”.,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",—,"$1,460,166,511",IPO,13
Technip-EPG B.V. acquired by TechnipFMC,Technip-EPG B.V.,TechnipFMC,"Jul 8, 2008",—,Acquisition,—,Technip-EPG B.V is specialized engineering company with notably strength in the oil and gas and petrochemical sectors.,—,Oil and Gas,"Capelle Aan Den Ijssel, Zuid-Holland, The Netherlands",—,—,M&A,—,"TechnipFMC is a world leader in project management, engineering and construction for the energy industry.","Energy, Oil and Gas, Project Management","London, England, United Kingdom",—,—,IPO,—
Proxeon acquired by Thermo Fisher Scientific,Proxeon,Thermo Fisher Scientific,"Apr 15, 2010",—,Acquisition,—,Proxeon develops solutions for scientific and technical challenges that are faced by those working in the field of proteomics.,—,"Biotechnology, Hardware, Medical, Software","Odense, Syddanmark, Denmark",—,"$2,410,000",M&A,1,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
StrataCare acquired by Xerox,StrataCare,Xerox,"May 7, 2014",—,Acquisition,—,StrataCare provides national bill review software solutions and services for the workers' compensation industry.,—,"Computer, Software","Irvine, California, United States",—,—,M&A,—,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media, Hardware, Information Technology, Printing, Software","Norwalk, Connecticut, United States",—,"$27,200,000,000",M&A,4
Kendro Laboratory Products acquired by Thermo Fisher Scientific,Kendro Laboratory Products,Thermo Fisher Scientific,"Jan 19, 2005","$833,500,000",Acquisition,Cash,"Kendro is a global leader in sample preparation products and services for life science, material science and drug discovery applications.",—,Productivity Tools,"Asheville, North Carolina, United States",—,—,M&A,—,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
Libit Signal Processing acquired by Texas Instruments,Libit Signal Processing,Texas Instruments,"Jun 21, 1999",—,Acquisition,—,"Libit Signal Processing Ltd., a technology leader in silicon solutions for the fast-growing market for cable access equipment.",—,Information Technology,"Tel Aviv, Tel Aviv, Israel",—,"$6,000,000",M&A,1,"Texas Instruments develops semiconductor and computer technology for cellular handsets, digital signal processors and analog semiconductors.","Computer, DSP, Semiconductor","Dallas, Texas, United States",—,—,IPO,—
Airborne Systems acquired by TransDigm,Airborne Systems,TransDigm,"Dec 2, 2013",—,—,—,Airborne Systems provides several research and development facilities.,—,"3D Printing, Manufacturing, Market Research, Training","Pennsauken, New Jersey, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
MoPub acquired by Twitter,MoPub,Twitter,"Sep 9, 2013","$350,000,000",Acquisition,Cash & Stock,MoPub is a mobile monetization platform that helps publishers drive more revenue from advertising and mobile transactions.,—,"Apps, Mobile Advertising, Publishing","San Francisco, California, United States",—,"$18,500,000",M&A,4,Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”.,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",—,"$1,460,166,511",IPO,13
Trendrr acquired by Twitter,Trendrr,Twitter,"Aug 28, 2013",—,—,—,Trendrr is a category-defining platform exploiting the value of real-time social data to provide media and advertising solutions.,—,"Analytics, Business Intelligence, Enterprise Software, Real Time, Social Media","New York, New York, United States",—,—,M&A,—,Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”.,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",—,"$1,460,166,511",IPO,13
Proveo GmbH acquired by Zebra Technologies,Proveo GmbH,Zebra Technologies,"Oct 15, 2007",—,Acquisition,—,proveo GmbH provides software and hardware solutions to airports and ground handling operations worldwide.,—,Software,—,—,—,M&A,—,"Zebra Technologies is a global leader in barcode printing and RTLS technology including printers, RFID, software and supplies.","Computer, Enterprise Software, Hardware, Information Technology, News, Social News, Software","Lincolnshire, Illinois, United States",—,"$2,000,000,000",IPO,2
